Age,Education,Marital_Status,Parental_Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount_Purchases,Total_Promo,NumWebVisitsMonth,cluster
61,2,1,1,2,29672,25,4707,6,9,1,3,0,4,8,0,0,3,1,0,6,1
74,3,1,1,1,55951,1374,4908,62,1225,0,80,0,13,40,3,6,11,3,2,8,0
38,1,0,1,1,35388,32,4712,20,6,4,7,4,3,8,1,0,3,1,0,7,1
40,3,1,1,1,42386,100,4765,43,65,4,16,0,4,11,3,0,3,1,0,8,1
44,2,0,0,0,68627,825,4766,45,395,15,263,60,54,38,2,3,6,1,0,1,2
61,4,0,1,1,57912,916,4337,34,801,0,80,0,0,35,8,3,12,5,1,5,0
68,2,0,1,2,35246,62,4307,53,36,0,12,2,2,10,3,1,3,4,0,5,1
70,1,1,1,1,58821,728,4493,44,513,14,154,19,0,28,9,2,9,1,0,6,0
48,4,1,1,1,46377,90,4353,89,37,0,46,4,3,0,2,1,3,1,0,4,1
38,2,0,1,1,39747,273,4310,43,80,15,93,20,13,52,5,1,4,3,0,8,0
42,2,1,1,1,23976,66,4417,68,14,1,21,2,3,25,3,1,3,3,0,7,1
65,3,1,0,0,80950,1213,4691,44,525,81,112,120.5,81,63,6,7,9,1,1,2,2
60,2,0,0,0,27038,107,4882,64,1,26,25,17,23,15,3,0,3,1,0,9,1
79,2,0,0,0,77457,1157,4349,85,675,11,400,15,45,11,2,5,10,1,1,1,2
62,3,1,1,1,64100,546,4525,93,509,0,27,0,0,10,8,3,6,1,1,7,0
34,3,1,0,0,42670,241,4661,12,154,2,46,20,4,15,4,2,4,1,0,4,1
50,2,0,1,1,12571,53,4395,86,3,5,14,2,12,17,3,1,3,4,0,6,1
59,2,1,1,3,22574,37,4477,28,25,0,8,2,0,2,2,0,3,2,0,7,1
37,2,1,0,0,51381.5,1611,4624,69,861,81,461,60,30,61,6,5,12,1,2,3,2
50,3,0,0,0,70893,1508,4741,42,768,44,556,77,44,14,6,6,10,1,0,3,2
60,2,1,1,2,54198,235,4427,13,185,0,28,3,2,17,3,1,6,6,0,4,1
70,3,1,1,2,28839,32,4343,86,24,0,7,0,0,1,2,0,3,2,0,5,1
54,2,1,1,2,40321,102,4568,59,44,4,21,6,0,27,3,0,3,2,0,7,1
41,2,0,1,1,66503,401,4917,30,91,64,128,65,3,50,4,3,6,2,0,3,0
75,2,1,1,2,30833,28,4581,33,11,0,7,3,1,6,1,0,3,2,0,5,1
56,2,0,1,3,51381.5,1052,4543,67,738,20,172,52,50,20,2,3,10,6,2,7,0
55,2,1,1,1,64795,680,4761,23,412,5,119,38,29,77,3,3,12,3,0,2,0
52,2,1,1,1,34421,30,4596,81,3,3,7,6,2,9,1,0,2,1,0,7,1
61,4,0,1,2,47025,20,4373,6,16,0,3,0,0,1,1,0,2,1,0,7,1
65,4,0,1,1,64325,1307,4740,41,731,60,353,78,12,73,10,3,5,5,0,7,0
73,2,0,1,1,40464,630,4767,78,424,17,118,7,23,41,8,2,8,6,0,8,0
69,2,1,0,0,62187,1283,4592,49,792,0,275,45,45,126,4,8,5,1,0,3,2
50,4,0,1,1,14849,65,4595,39,21,2,28,3,2,9,2,0,4,3,0,8,1
42,2,1,1,1,27255,37,4467,3,22,1,11,0,1,2,1,0,3,1,0,7,1
76,4,1,1,3,54432,38,4649,37,33,0,5,0,0,0,1,0,3,1,0,4,1
40,4,0,1,1,29999,160,4734,22,68,7,59,10,5,11,3,1,4,4,0,8,1
43,2,0,1,1,24072,23,4672,79,9,1,6,3,0,4,1,0,2,1,0,8,1
37,4,0,0,0,33996,71,4524,46,40,2,15,8,0,6,1,1,3,1,0,4,1
70,4,1,1,1,66334,1161,4685,82,909,11,218,0,0,23,9,3,5,2,0,5,0
55,3,1,1,1,35178,59,4768,10,23,1,13,2,2,18,1,1,2,1,1,7,1
43,2,1,1,1,22010,33,4597,51,11,2,9,3,0,8,2,0,3,2,0,8,1
66,2,0,1,2,62204,946,4888,38,317,46,247,120.5,46,126.5,4,5,12,1,0,3,0
58,2,0,0,0,75693,1442,4803,10,797,81,293,72,81,30,11,4,6,1,3,4,2
54,2,1,1,1,30675,62,4827,14,10,2,16,11,2,21,1,0,3,1,0,8,1
61,2,1,0,0,83003,1674,4716,18,856,61,556,40,25,122,7,6,8,1,1,3,2
94,4,1,0,0,83532,1853,4509,36,755,81,556,104,64,126.5,4,6,4,1,1,1,2
38,2,0,0,0,68655,1538,4921,95,456,19,556,75,81,38,4,5,11,1,0,3,2
40,2,0,0,0,41411,139,4437,11,37,32,38,11,3,18,2,1,4,1,0,6,1
57,4,1,1,1,55212,1182,4816,65,1103,0,45,0,0,34,4,2,11,3,2,8,0
76,4,1,1,1,59292,507,4614,71,378,14,68,19,14,14,3,5,8,2,0,3,0
53,0,1,1,1,27190,18,4551,13,1,6,7,0,1,3,1,0,2,1,1,8,1
74,2,0,0,0,82623,940,4464,58,204,34,204,120.5,81,126.5,2,9,4,1,0,1,2
61,2,1,1,2,44300,42,4604,65,30,0,9,0,0,3,1,0,3,2,0,6,1
56,2,0,0,0,84835,1190,4246,0,189,81,379,111,81,126.5,4,4,6,1,0,1,2
55,2,0,1,2,30372,44,4784,33,15,0,12,7,3,7,2,0,3,3,0,7,1
50,3,1,1,1,33181,16,4410,90,9,0,3,0,0,4,1,0,2,1,1,6,1
69,2,1,1,1,71113,835,4427,95,495,33,255,11,33,8,6,7,9,4,0,4,0
40,2,1,1,1,71952,1443,4768,93,656,80,455,52,81,93,8,4,8,2,2,4,2
60,4,0,0,0,69759,1029,4477,38,452,20,514,13,30,0,4,6,5,3,0,3,2
52,2,1,0,0,72099,1188,4843,18,546,81,410,119,0,22,3,4,10,1,0,1,2
50,4,0,1,1,60000,1277,4787,57,1048,0,217,0,0,12,11,3,5,5,0,6,0
48,2,0,1,2,38643,49,4445,45,22,2,14,0,1,10,2,0,3,2,0,7,1
71,2,1,1,1,50737,99,4647,61,78,0,11,0,0,10,2,0,4,1,1,6,1
57,4,1,0,0,68462,1670,4797,6,561,64,556,84,81,48,3,3,8,1,0,1,2
83,3,1,0,0,65073,900,4546,65,629,17,177,69,0,8,5,3,5,1,0,2,2
78,4,1,1,2,46681,425,4497,52,269,15,69,15,19,38,4,6,4,2,0,5,0
69,2,1,0,0,78618,2153,4872,87,736,81,556,120.5,81,61,4,7,10,1,1,2,2
57,4,0,1,1,62187,636,4332,38,512,0,83,0,0,41,6,2,10,3,0,4,0
48,2,1,1,2,28442,57,4358,53,19,3,10,11,8,6,2,1,4,3,0,4,1
48,4,1,1,1,37717,25,4816,31,9,0,6,4,1,5,1,0,2,1,0,9,1
59,2,1,1,2,51479,494,4781,67,247,8,160,6,8,65,6,3,6,7,0,7,0
57,2,0,1,1,54803,693,4910,65,404,0,92,28,27,126.5,6,2,9,2,0,4,0
66,2,1,0,0,79530,1348,4641,64,333,0,556,120.5,42,29,4,10,11,1,0,2,2
50,2,0,1,1,31615,51,4703,82,2,3,20,6,11,9,2,0,3,2,0,7,1
64,2,1,0,0,72025,1932,4822,27,833,33,549,120.5,81,126.5,4,3,8,1,0,3,2
51,4,0,1,1,52614,990,4808,63,789,0,142,12,9,38,2,4,8,2,0,8,0
42,1,1,1,1,35684,30,4301,66,10,4,7,0,6,3,1,0,3,1,0,6,1
51,2,1,1,2,48178,254,4842,69,159,4,45,6,2,38,5,1,4,6,0,8,0
56,3,0,1,1,29548,29,4537,52,7,1,6,3,1,11,1,1,2,1,1,4,1
60,2,0,1,1,63810,1371,4828,45,977,12,253,16,12,101,4,3,12,4,1,8,0
54,4,0,1,2,38578,73,4605,2,38,4,22,3,3,3,3,0,3,3,0,8,1
51,3,0,1,2,46098,120,4913,86,57,0,27,0,0,36,3,2,2,4,0,8,1
56,2,0,0,0,22585,81,4701,23,3,9,15,13,2,39,1,1,2,1,1,9,1
37,2,0,1,1,30279,37,4779,13,10,4,14,4,4,1,1,0,3,1,0,8,1
65,4,1,1,1,66426,1377,4503,14,1043,24,97,32,24,126.5,3,5,10,2,0,6,0
57,2,0,1,1,30822,51,4613,92,3,9,13,2,12,12,1,0,3,1,0,7,1
57,4,1,1,2,33581,17,4770,38,11,0,5,0,0,1,1,0,2,1,0,8,1
41,2,1,1,1,19986,22,4460,74,3,6,5,0,2,6,0,0,3,1,0,7,1
72,2,0,0,0,27421,324,4797,14,43,12,96,78,40,55,4,1,6,3,0,7,0
53,1,1,1,3,35688,211,4909,94,73,3,90,12,1,32,4,1,4,7,0,8,0
45,3,0,1,1,36143,19,4324,33,12,0,1,0,0,6,0,1,2,1,0,3,1
55,2,0,1,1,10245,41,4643,32,4,7,7,6,4,13,1,2,2,3,0,5,1
58,3,1,1,1,43795,492,4489,11,314,11,53,4,3,107,7,3,4,3,1,7,0
66,2,1,1,1,63381,1005,4865,78,571,50,142,33,50,126.5,4,5,13,4,0,2,0
77,2,1,1,1,38823,114,4901,56,70,0,11,2,8,23,2,1,3,1,0,6,1
58,4,0,1,2,83664,1173,4650,57,866,21,151,28,21,86,2,2,12,3,0,5,0
47,2,1,0,0,90300,1738,4410,7,594,81,556,33,81,57,5,6,8,0,1,1,2
47,3,1,1,1,62499,222,4435,0,140,4,61,0,13,4,3,1,6,2,0,4,1
33,2,0,0,0,74293,1127,4289,66,375,81,335,93,81,81,5,4,6,1,0,2,2
80,4,1,0,0,51012,209,4670,86,102,9,63,2,9,24,4,1,4,1,0,6,0
58,3,1,1,1,70777,787,4357,80,554,35,113,0,7,78,5,3,12,3,0,3,0
35,4,1,0,0,68682,1598,4499,56,919,0,505,99,30,45,4,9,10,1,0,2,2
55,2,1,1,2,43824,186,4885,18,96,1,42,12,3,32,3,1,4,4,0,8,1
42,2,1,1,1,15345,47,4900,51,5,2,16,3,2,19,1,1,2,2,0,8,1
39,2,0,1,1,23442,27,4785,71,2,0,6,8,6,5,1,0,3,1,0,7,1
46,1,1,1,1,14515,96,4830,71,6,4,9,6,36,35,2,2,3,4,0,7,1
70,1,0,1,2,31395,64,4696,80,23,1,25,0,8,7,2,1,3,4,0,6,1
61,2,1,0,0,75276,1040,4873,2,610,81,125,120.5,42,21,9,4,9,1,0,5,2
52,2,0,1,2,42373,163,4551,83,67,5,61,3,8,19,2,1,5,5,0,5,1
66,2,1,0,0,30507,343,4708,29,65,36,74,38,20,110,5,1,4,1,0,7,0
71,4,0,1,3,55521,446,4483,11,416,0,26,0,0,4,6,3,6,9,1,7,0
61,2,1,1,2,48006,41,4253,55,23,0,11,3,2,2,1,0,3,1,0,6,1
54,4,0,1,1,27213,70,4901,19,19,3,26,10,9,3,2,0,4,3,0,8,1
55,4,0,1,2,65808,272,4263,1,155,7,80,13,7,10,5,1,5,3,0,6,0
52,4,1,1,1,30351,46,4621,19,14,0,24,3,3,2,3,0,2,1,0,9,1
63,2,1,1,2,50437,490,4853,28,370,9,92,6,9,4,7,1,8,3,0,7,0
44,1,0,1,1,23616,79,4822,76,4,22,11,3,7,32,3,0,3,2,0,8,1
50,2,1,1,1,53858,915,4830,50,407,53,221,58,81,26,4,3,6,4,0,4,0
71,4,1,1,1,66465,1485,4689,1,1200,0,204,38,29,14,11,9,12,3,1,6,0
39,2,0,1,1,46923,369,4909,90,85,44,54,102,78,6,5,1,7,3,0,7,0
64,2,1,1,1,75072,1073,4755,83,583,34,309,0,22,125,5,4,8,2,0,3,0
83,4,1,0,0,75865,1242,4323,73,483,0,556,120.5,0,12,3,5,10,1,0,1,2
51,1,1,1,1,19789,78,4454,24,2,5,9,28,6,28,2,1,3,3,1,5,1
32,2,1,0,0,80134,1378,4368,11,966,26,282,52,26,26,2,7,11,1,4,5,2
45,2,0,0,0,91065,1474,4725,33,822,81,108,120.5,81,114,7,9,9,1,2,3,2
55,3,1,1,2,49505,751,4714,4,604,0,100,19,0,28,10,2,8,9,0,8,0
53,4,1,1,1,37401,48,4287,14,19,3,19,3,1,3,2,0,3,2,0,7,1
43,2,1,1,1,30096,45,4271,30,5,3,11,12,5,9,2,0,3,1,0,6,1
44,3,1,1,1,18492,10,4257,75,2,2,2,2,1,1,1,0,2,1,0,8,1
52,3,1,0,0,82584,1435,4623,26,1076,68,103,29,81,68,3,4,8,1,2,1,2
85,4,1,0,0,93027,2119,4675,77,1225,42,556,55,0,21,7,10,5,0,1,2,2
73,2,1,1,3,48686,20,4440,8,10,0,7,2,0,1,1,0,2,1,0,8,1
40,2,1,0,0,92910,1795,4299,42,551,81,556,120.5,81,33,6,7,13,1,3,1,2
37,2,1,1,1,75433,1188,4318,28,800,0,297,0,34,57,2,5,10,2,2,6,0
37,1,1,1,1,10404,43,4289,52,2,2,11,10,6,12,1,0,4,2,0,5,1
58,2,1,1,1,61314,1008,4663,1,378,0,189,97,81,126.5,5,5,12,2,0,3,0
65,4,0,0,0,84865,1688,4649,1,1225,16,349,43,16,16,2,4,9,1,4,4,2
37,2,1,1,1,42387,684,4841,42,235,0,235,19,4,126.5,8,1,7,5,0,8,0
59,1,1,1,2,67309,1082,4755,76,515,47,181,120.5,81,95,9,6,9,15,0,7,0
62,2,1,1,1,75236,1068,4449,27,438,66,400,12,38,114,8,3,13,1,0,4,2
56,2,0,1,1,30015,57,4380,28,25,0,22,2,3,5,1,0,4,2,0,5,1
70,3,1,1,1,50943,46,4606,49,31,0,7,2,0,6,1,0,3,1,0,5,1
60,2,0,1,1,67272,733,4423,12,357,35,271,28,28,14,6,2,12,3,0,5,0
77,3,0,1,1,51529,467,4528,14,400,4,35,6,0,22,9,1,5,2,0,8,0
55,4,1,1,1,32011,122,4544,89,99,0,15,2,1,5,2,1,4,3,0,7,1
40,1,1,1,1,7500,36,4740,96,1,11,5,4,6,9,2,0,3,2,0,8,1
37,2,1,1,1,28691,34,4593,56,5,4,13,8,0,4,1,0,3,1,0,8,1
78,4,1,1,1,56223,156,4424,72,77,28,31,16,0,4,2,1,5,2,0,4,1
80,2,1,0,0,18100,14,4560,14,3,1,2,4,3,1,0,0,3,1,0,5,1
37,2,0,1,1,30279,37,4779,13,10,4,14,4,4,1,1,0,3,1,0,8,1
52,1,1,0,0,20130,34,4337,99,0,6,3,7,6,12,1,0,3,1,0,8,1
67,2,0,0,0,23295,20,4584,72,0,0,1,2,12,5,1,0,2,1,0,8,1
54,3,0,1,1,42618,192,4496,92,76,14,74,13,5,10,5,0,4,2,0,8,1
62,2,0,0,0,81246,1379,4415,87,398,81,537,61,81,37,4,5,7,1,2,1,2
50,2,1,1,1,24027,48,4618,7,14,7,11,11,0,5,2,0,3,2,0,8,1
73,4,1,1,1,55707,428,4422,91,208,7,82,30,66,35,3,2,9,2,0,3,0
71,2,0,1,1,57959,868,4656,71,430,16,322,43,24,33,4,7,11,5,0,3,0
57,2,1,1,1,56796,1001,4731,24,656,38,161,62,47,37,8,9,7,3,0,7,0
55,3,0,1,1,36230,59,4488,17,14,2,30,8,2,3,2,0,4,1,0,5,1
46,1,1,1,2,70829,431,4443,87,141,70,106,72,19,23,4,2,8,2,0,3,0
50,2,1,1,1,65991,971,4893,21,507,19,364,25,47,9,9,5,10,3,0,7,0
54,2,1,1,3,38988,348,4911,90,164,24,103,12,3,42,5,1,6,7,0,8,0
60,1,0,0,0,89572,2059,4885,44,606,24,556,120.5,81,64,7,7,9,1,2,4,2
42,3,1,1,1,42207,265,4687,71,116,11,72,3,17,46,4,1,5,4,1,6,0
74,2,1,1,1,50300,270,4268,52,143,15,60,24,23,5,2,1,8,2,0,2,0
44,1,1,0,0,66664,1289,4875,78,398,81,447,120.5,81,32,5,7,6,1,0,3,2
62,2,1,1,1,60597,893,4412,2,522,0,257,32,16,66,2,2,8,4,1,7,0
77,2,0,0,0,70165,926,4513,60,161,0,253,120.5,81,122,3,7,11,1,0,1,2
68,4,0,1,1,50520,135,4385,25,112,0,6,2,1,14,3,1,3,2,0,6,1
63,2,1,0,0,80124,1495,4236,47,483,81,398,120.5,81,126.5,3,7,8,1,1,1,2
51,2,1,1,1,33183,120,4358,46,7,5,39,17,15,37,4,0,3,2,0,7,1
57,4,0,0,0,66582,1288,4351,83,789,25,420,16,38,0,2,8,9,1,0,1,2
71,4,1,0,0,75261,1743,4665,17,1225,17,413,23,34,17,5,6,5,1,2,2,2
56,2,0,1,1,31880,15,4839,13,4,1,5,2,0,3,1,0,2,1,0,8,1
75,2,1,1,2,53790,542,4348,86,335,42,127,28,5,5,7,2,8,3,0,6,0
55,4,1,1,1,49269,890,4916,92,639,8,166,11,8,58,7,3,12,3,0,7,0
51,2,1,1,1,61456,1388,4692,47,563,76,384,84,81,89,6,10,13,4,0,4,2
46,2,1,1,1,37406,17,4495,18,2,0,8,2,2,3,1,0,2,1,0,8,1
45,4,1,1,1,56937,906,4927,81,746,8,125,11,8,8,8,6,9,7,1,6,0
48,2,1,1,2,38415,44,4776,91,22,1,13,4,0,4,1,0,3,2,0,7,1
38,2,0,1,1,20518,25,4275,58,4,1,6,4,1,9,1,1,2,1,0,5,1
70,2,1,1,1,62503,973,4729,40,478,0,193,110,75,117,8,3,11,4,0,5,0
54,4,0,1,2,41644,31,4284,67,20,3,4,2,0,2,1,0,3,2,0,3,1
49,3,1,1,1,55842,518,4270,19,451,0,39,0,4,24,7,1,8,1,0,5,0
54,4,1,1,1,62010,530,4847,93,371,22,39,6,0,92,6,2,7,4,0,5,0
49,2,1,1,1,41124,506,4839,41,281,7,84,15,0,119,7,3,4,7,0,8,0
53,3,1,1,1,38961,70,4414,60,19,7,19,0,1,24,2,1,2,1,0,7,1
54,3,0,1,1,37760,54,4555,54,26,3,13,2,10,0,2,0,3,1,0,6,1
52,2,0,1,1,32233,296,4912,26,138,15,35,25,11,72,6,2,2,2,1,9,0
51,2,1,1,1,43057,266,4475,30,213,2,44,0,2,5,4,2,5,4,0,5,1
66,3,1,0,0,83151,747,4860,93,407,28,100,120,74,18,5,9,4,1,0,3,2
62,4,0,0,0,78825,895,4886,35,483,74,114,120.5,37,18,5,10,13,1,0,3,2
50,3,1,1,1,65104,1053,4460,4,738,0,232,13,20,50,3,5,7,2,0,7,0
52,2,1,1,1,60093,735,4601,92,502,12,109,16,6,90,7,2,10,2,0,6,0
57,2,1,1,1,14045,20,4387,24,11,0,5,2,1,1,1,0,3,1,0,7,1
74,1,0,0,0,28457,205,4842,96,24,1,108,29,29,14,4,1,4,1,0,8,1
68,4,1,1,1,78952,2092,4876,11,1170,19,556,99,76,126.5,2,5,12,2,0,6,2
50,2,0,1,1,46310,309,4806,99,185,2,88,15,5,14,6,1,5,2,0,8,0
71,2,1,0,0,76005,1722,4725,72,983,20,389,120.5,50,40,3,5,13,1,1,6,2
62,3,0,1,1,58308,900,4766,77,691,0,69,10,0,126.5,2,6,3,4,0,8,0
82,4,0,0,0,55614,682,4447,85,504,13,131,8,0,26,9,4,6,1,1,7,0
64,3,0,1,1,59432,663,4675,88,317,25,265,25,19,12,5,3,11,3,0,5,0
48,2,0,1,1,55563,43,4318,22,29,1,9,2,0,2,2,0,3,1,0,3,1
55,4,1,1,1,78642,1816,4667,83,1225,0,322,46,35,17,4,9,4,1,0,6,0
77,4,1,1,1,67911,976,4271,63,529,0,356,63,28,0,6,7,11,3,0,3,0
82,2,1,0,0,65275,746,4685,9,388,14,218,91,14,21,4,3,13,1,0,2,2
76,2,1,1,2,27203,64,4925,92,13,2,21,4,0,24,1,1,2,2,0,8,1
65,3,1,1,1,48330,32,4459,2,28,0,4,0,0,0,1,0,3,1,0,5,1
36,0,1,0,0,24279,263,4780,6,16,36,21,20,62,108,4,1,3,1,0,8,1
41,4,1,1,1,64355,1445,4907,66,1047,0,140,67,38,126.5,4,3,12,2,0,8,0
70,3,1,1,1,50943,46,4606,49,31,0,7,2,0,6,1,0,3,1,0,5,1
73,2,0,0,0,53653,1210,4832,29,815,10,239,28,10,108,10,4,12,2,0,6,2
50,2,1,1,1,65665,945,4442,77,225,81,387,106,36,29,5,10,8,1,0,3,2
37,2,0,0,0,81217,1157,4578,77,493,70,324,120.5,40,84,3,7,11,1,0,1,2
34,2,1,0,0,34935,137,4606,71,34,4,66,3,10,20,2,1,4,1,0,7,1
67,2,0,1,1,61250,730,4793,49,382,81,65,60,26,59,5,2,12,6,0,5,0
45,4,1,1,1,39665,216,4633,97,127,1,56,0,1,31,4,2,3,3,1,7,1
47,2,0,1,1,60152,943,4691,6,325,81,300,86,58,91,6,4,12,1,0,3,2
62,2,1,1,2,48920,347,4485,93,238,17,68,8,10,6,6,2,5,3,1,7,0
67,3,1,0,0,89120,1924,4337,78,1168,81,408,72,81,55,5,6,7,1,1,1,2
80,4,1,1,1,44124,397,4647,62,284,0,55,0,6,52,6,2,5,4,0,8,0
51,3,0,0,0,81169,2089,4674,47,1225,20,556,80,61,27,5,7,9,1,0,2,2
65,2,1,1,2,36443,138,4744,9,65,0,46,4,3,20,3,1,3,4,0,8,1
36,2,0,1,1,26095,42,4597,77,11,7,9,3,1,11,1,0,3,1,0,7,1
67,2,1,0,0,71367,777,4543,24,227,23,389,42,21,75,4,5,7,1,0,2,2
82,3,1,0,0,80184,1902,4353,19,1035,81,556,25,38,0,6,3,10,1,2,3,2
61,2,0,1,2,30630,52,4386,67,27,1,12,2,0,10,2,0,3,2,0,7,1
39,3,0,0,0,73454,1651,4353,95,982,73,351,56,14,126.5,2,4,6,1,1,5,2
35,2,1,0,0,42691,358,4550,48,179,2,64,38,17,58,5,1,6,1,0,5,2
73,2,1,0,0,70503,1727,4870,73,1225,33,216,0,33,66,2,4,9,1,2,6,2
39,2,1,1,1,25545,210,4892,35,32,1,64,16,12,85,2,2,3,3,0,6,1
40,2,1,1,1,32880,42,4805,76,8,4,15,7,6,2,1,0,3,1,0,8,1
68,4,1,0,0,77863,1291,4447,20,881,38,319,16,25,12,4,5,10,1,0,2,2
49,3,1,0,0,50353,442,4254,72,141,15,153,67,31,35,4,4,6,1,0,3,2
62,2,0,0,0,61839,1895,4919,20,1000,81,379,120.5,17,120,4,8,4,1,0,8,2
66,4,1,1,2,49154,411,4471,69,206,10,67,30,27,71,4,1,8,6,0,6,0
51,1,0,1,1,47682,521,4732,80,162,61,83,97,57,61,4,3,8,4,0,5,0
57,2,0,1,1,72679,1168,4517,65,619,54,260,120.5,54,54,4,7,5,1,0,1,2
49,3,1,1,2,57954,493,4244,52,456,4,24,0,0,9,8,2,6,7,1,7,0
64,2,1,1,2,65316,260,4664,65,112,6,92,3,9,38,3,2,5,2,0,4,0
44,2,0,1,1,28567,46,4610,57,11,3,22,2,2,6,2,0,3,2,0,6,1
75,3,1,1,1,47352,319,4677,70,172,12,112,8,0,15,6,1,5,4,0,7,0
59,2,1,1,1,44931,96,4395,0,78,0,11,0,0,7,2,1,3,1,0,5,1
59,2,0,0,0,76982,1062,4367,19,464,81,292,65,60,30,8,3,4,1,1,4,2
74,1,1,1,1,57247,232,4558,50,99,4,32,37,54,6,2,1,7,2,0,2,0
45,3,0,1,1,22944,76,4421,67,19,3,19,4,5,26,3,0,3,3,0,7,1
49,1,1,1,1,25315,54,4467,46,1,9,8,11,3,22,3,0,3,3,0,8,1
57,2,0,1,1,43638,201,4925,37,63,10,83,7,19,19,4,1,4,2,0,7,0
42,4,0,1,1,42710,406,4811,38,252,3,42,4,3,102,4,5,3,2,0,6,0
44,4,1,0,0,84169,1919,4559,9,1225,19,403,0,19,0,7,6,6,1,2,3,2
50,2,1,1,1,54058,662,4623,56,198,18,252,32,81,54,4,6,8,2,0,3,0
36,1,1,1,1,24683,41,4346,98,8,4,10,6,7,6,2,0,4,2,0,5,1
62,2,0,0,0,85620,1600,4406,68,416,46,556,60,81,46,3,6,4,1,0,1,2
46,2,1,1,1,47850,134,4441,72,42,7,43,20,12,10,3,0,4,1,0,6,1
58,2,1,1,2,19514,69,4387,47,14,3,21,2,1,28,3,1,2,4,1,8,1
53,3,1,1,2,27159,21,4325,33,17,0,3,0,0,1,1,0,3,2,0,6,1
63,1,0,1,2,39548,54,4323,87,15,4,10,3,4,18,1,1,3,2,0,3,1
37,2,0,1,1,21474,91,4315,0,6,16,24,11,0,34,3,1,2,2,1,7,1
55,4,0,1,1,60504,526,4375,73,458,0,24,6,4,34,6,2,8,2,0,6,0
63,2,1,0,0,22419,162,4670,74,30,3,47,19,21,42,3,2,2,1,0,8,1
77,3,1,0,0,81698,1008,4468,4,179,28,520,111,81,47,3,8,13,1,0,1,2
74,2,1,1,2,43462,240,4888,50,90,17,97,15,6,15,4,1,5,6,0,8,0
48,4,0,1,1,54880,795,4718,57,308,81,137,102,45,118,6,2,11,2,0,5,0
44,2,1,0,0,79908,1772,4683,30,557,81,556,29,81,111,5,6,7,1,1,2,2
56,1,1,0,0,15315,64,4563,27,7,4,13,15,8,17,2,0,4,2,0,5,1
67,2,1,1,1,87771,1957,4636,61,1225,38,287,50,57,33,5,10,4,1,4,6,2
48,2,1,1,1,33039,78,4526,4,30,8,12,8,8,12,2,0,4,1,0,5,1
46,2,0,0,0,81741,1572,4611,75,249,81,556,58,81,38,6,6,7,0,0,2,2
55,3,1,1,1,71499,795,4602,12,465,25,132,120.5,0,37,8,3,13,2,0,4,0
56,1,1,1,1,62466,889,4398,13,129,81,259,120.5,81,83,6,3,12,5,0,4,0
63,4,0,1,1,48799,331,4469,9,174,18,81,28,6,24,3,2,7,3,0,3,0
76,4,1,1,1,52157,265,4255,48,189,2,29,3,2,40,3,2,5,2,0,4,1
64,2,0,1,1,66565,1065,4804,80,747,10,161,65,40,42,4,2,9,4,0,8,0
75,3,1,1,2,29298,11,4528,60,6,0,2,2,0,1,1,0,2,1,0,5,1
47,2,0,1,1,47691,21,4592,43,14,0,3,0,0,4,1,0,2,1,0,6,1
56,2,1,1,2,38200,17,4802,19,12,0,4,0,0,1,1,0,2,1,0,7,1
52,2,1,1,1,44989,369,4888,26,98,0,106,49,10,106,5,1,5,5,0,6,0
58,4,1,1,2,38443,38,4386,58,32,0,5,0,0,1,1,0,3,2,0,7,1
48,1,0,1,1,38593,177,4522,42,51,12,49,17,24,24,4,1,3,3,0,8,1
56,4,1,1,1,64413,279,4565,27,200,5,44,0,10,20,5,1,5,1,0,5,0
45,3,1,1,1,36959,62,4503,56,25,6,25,6,0,0,2,0,3,2,0,8,1
49,4,1,1,1,61996,1230,4747,27,1050,12,144,0,0,24,6,4,8,3,3,5,0
58,2,1,1,2,51287,182,4322,10,117,0,22,13,0,30,4,1,3,3,0,7,1
56,2,1,1,2,13260,49,4543,48,9,4,17,10,2,7,3,0,3,4,0,8,1
60,4,1,1,2,47472,75,4519,39,56,0,11,0,0,8,2,0,4,2,0,5,1
70,3,1,1,2,54603,227,4588,85,145,13,46,17,2,4,4,2,4,6,0,7,0
52,4,1,1,2,45207,215,4829,64,203,0,10,0,0,2,3,1,6,5,1,6,1
75,2,1,1,1,40689,444,4701,69,270,3,27,39,6,99,7,1,5,7,0,8,0
59,1,1,1,2,47821,47,4485,54,9,0,16,6,6,10,1,0,3,1,0,8,1
75,3,1,0,0,27450,143,4673,57,37,12,23,8,11,52,2,1,3,1,0,7,1
43,2,1,1,1,39453,55,4320,64,46,0,7,0,0,2,2,0,3,2,0,6,1
55,1,1,1,2,26850,63,4305,10,31,1,13,7,2,9,2,1,4,4,0,4,1
71,2,0,0,0,79800,1867,4877,65,1060,21,530,32,0,126.5,5,11,5,1,3,3,2
65,3,1,1,1,61794,611,4521,74,264,47,188,54,47,11,4,4,10,2,0,2,0
71,2,1,1,1,53863,473,4276,4,399,4,30,6,4,30,7,1,7,3,1,7,0
67,2,1,0,0,24221,55,4546,94,8,9,9,2,5,22,1,1,3,1,0,4,1
42,4,0,1,1,39684,81,4858,41,19,0,35,6,4,17,2,1,2,2,0,7,1
